Tumor Cells (current),Immune Cells (total),Active Immune Cells,Destroyed Tumor Cells,Average Cancer Cell PD-L1,Average TCell Activation,Average TCell Exhaustion,Overall Survival,Progression-Free Survival,Time Step,Simulation Status
70,50,26,0,0.5029714285714285,0.6768417145917637,0.5381747317399329,0.0,100.0,0,RUNNING
71,50,23,0,0.5065352112676056,0.6815969299915562,0.5412829231659911,0.0,98.57142857142858,1,RUNNING
71,50,21,0,0.5065352112676056,0.6017956307673398,0.5440381640895413,0.0,98.57142857142858,2,RUNNING
72,50,20,0,0.507,0.5674968737897956,0.5469410256627041,0.0,97.14285714285714,3,RUNNING
72,50,19,0,0.507,0.5557348011534939,0.5498632936599204,0.0,97.14285714285714,4,RUNNING
73,50,19,0,0.5044931506849315,0.5471466499230234,0.5523512146421277,0.0,95.71428571428572,5,RUNNING
71,50,18,0,0.5095774647887323,0.5346616201146915,0.5552201433581555,0.0,98.57142857142858,6,RUNNING
71,50,18,0,0.5156619718309859,0.5345213391207458,0.5583271382524884,0.0,98.57142857142858,7,RUNNING
70,50,18,0,0.5184000000000001,0.5353748365087836,0.5616009566212444,0.0,100.0,8,RUNNING
70,50,17,0,0.5245714285714286,0.5358914652085768,0.5646835332596738,0.0,100.0,9,RUNNING
71,50,16,0,0.5278309859154929,0.5359243728618281,0.5675070799516059,0.0,98.57142857142858,10,RUNNING
75,50,15,0,0.5284800000000001,0.5355322315314365,0.5704251220812656,0.0,92.85714285714286,11,RUNNING
73,50,15,0,0.54,0.5346550011945274,0.5734603416362171,0.0,95.71428571428572,12,RUNNING
72,50,15,0,0.534,0.5335285009739543,0.5766562511985828,0.0,97.14285714285714,13,RUNNING
71,50,15,0,0.54,0.5319261720333422,0.5797125979209701,0.0,98.57142857142858,14,RUNNING
70,50,15,0,0.54,0.5299547350797703,0.5825870671661031,0.0,100.0,15,RUNNING
70,50,15,0,0.54,0.527426101803707,0.5851524990794428,0.0,100.0,16,RUNNING
68,50,15,2,0.5463529411764706,0.5243124023606442,0.5878484191921186,2.857142857142858,100.0,17,RUNNING
71,50,15,0,0.552169014084507,0.5205805272616281,0.5906733379451873,0.0,98.57142857142858,18,RUNNING
70,50,12,0,0.5616000000000001,0.5160584958432889,0.593282699045154,0.0,100.0,19,RUNNING
70,50,12,0,0.5708571428571428,0.5107943246958174,0.5957408760797602,0.0,100.0,20,RUNNING
65,50,12,5,0.5865230769230769,0.5048133708946604,0.598223720765839,7.14285714285714,100.0,21,RUNNING
66,50,10,4,0.5923636363636364,0.4981469223022124,0.6009680953640111,5.714285714285716,100.0,22,RUNNING
66,50,9,4,0.5956363636363636,0.4907021628363866,0.6037597169758815,5.714285714285716,100.0,23,RUNNING
64,50,9,6,0.597375,0.48274944980380086,0.6065183476519485,8.571428571428575,100.0,24,RUNNING
64,50,9,6,0.597375,0.473961685379465,0.609234731729038,8.571428571428575,100.0,25,RUNNING
63,50,8,7,0.5982857142857143,0.4644287866370028,0.6117500558947381,9.999999999999998,100.0,26,RUNNING
62,50,8,8,0.5992258064516129,0.4586814462595824,0.6145345391534377,11.428571428571432,100.0,27,RUNNING
57,50,6,13,0.596842105263158,0.4544172934825731,0.6176174739501467,18.571428571428573,100.0,28,RUNNING
55,50,6,15,0.5989090909090908,0.44946410068435333,0.6208055564996713,21.42857142857143,100.0,29,RUNNING
56,50,5,14,0.6132857142857143,0.44375724055485394,0.6235661050630401,19.999999999999996,100.0,30,RUNNING
55,50,5,15,0.6224727272727274,0.43731204741238905,0.6271725973367032,21.42857142857143,100.0,31,RUNNING
54,50,5,16,0.628,0.4300964146381049,0.6298657558085702,22.857142857142854,100.0,32,RUNNING
52,50,5,18,0.6355384615384616,0.42223673357461555,0.6325459087786278,25.71428571428571,100.0,33,RUNNING
48,50,5,22,0.6435000000000001,0.41354447278048084,0.6356904008988308,31.428571428571427,100.0,34,RUNNING
44,50,5,26,0.6578181818181817,0.4066287245701714,0.6382014633003337,37.142857142857146,100.0,35,RUNNING
46,50,5,24,0.6620869565217391,0.4037840874896545,0.6407193554986202,34.285714285714285,100.0,36,RUNNING
42,50,5,28,0.6582857142857143,0.40048718061255567,0.6433694079822746,40.0,100.0,37,RUNNING
36,50,5,34,0.654,0.3967919513848524,0.6465434495997108,48.57142857142858,100.0,38,RUNNING
35,50,5,35,0.6572571428571429,0.39271749000611417,0.6490003542506262,50.0,100.0,39,RUNNING
31,50,5,39,0.6723870967741936,0.38841249423572705,0.6518974867628472,55.714285714285715,100.0,40,RUNNING
28,50,5,42,0.6711428571428572,0.383840868070808,0.6543476753009216,60.0,100.0,41,RUNNING
26,50,4,44,0.6646153846153846,0.37897357534729464,0.6570429147682232,62.857142857142854,100.0,42,RUNNING
25,50,4,45,0.6696000000000001,0.37368384942610094,0.6600010399598581,64.28571428571428,100.0,43,RUNNING
20,50,4,50,0.6696,0.36791393802079714,0.6625623657706766,71.42857142857143,100.0,44,RUNNING
18,50,4,52,0.684,0.3619016425722076,0.6651371926336894,74.28571428571429,100.0,45,RUNNING
14,50,4,56,0.7097142857142857,0.3557314579582592,0.6676191864748271,80.0,100.0,46,RUNNING
10,50,4,60,0.7344,0.35428571428571426,0.6701388854066483,85.71428571428572,100.0,47,RUNNING
8,50,4,62,0.729,0.35428571428571426,0.6723752714009045,88.57142857142857,100.0,48,RUNNING
5,50,4,65,0.756,0.35428571428571426,0.6749852534845208,92.85714285714286,100.0,49,RUNNING
2,50,4,68,0.756,0.35428571428571426,0.6772564173719416,97.14285714285714,100.0,50,MAX_STEPS
