Tumor Cells (current),Immune Cells (total),Active Immune Cells,Destroyed Tumor Cells,Average Cancer Cell PD-L1,Average TCell Activation,Average TCell Exhaustion,Overall Survival,Progression-Free Survival,Time Step,Simulation Status
50,30,12,0,0.33120000000000005,0.7348124617031013,0.38369310660505285,0.0,100.0,0,RUNNING
51,30,9,0,0.33458823529411763,0.6560128958263599,0.3874303553183762,0.0,98.0,1,RUNNING
51,30,9,0,0.33458823529411763,0.546199785223128,0.3915269482598605,0.0,98.0,2,RUNNING
52,30,7,0,0.33507692307692316,0.5113583976959086,0.3949555917354197,0.0,96.0,3,RUNNING
52,30,6,0,0.33507692307692316,0.4765099399075013,0.39910201395468575,0.0,96.0,4,RUNNING
51,30,6,0,0.33458823529411763,0.4399270727179383,0.4017635090253291,0.0,98.0,5,RUNNING
52,30,6,0,0.33507692307692316,0.4020775405701516,0.4045410291997075,0.0,96.0,6,RUNNING
54,30,6,0,0.336,0.39666666666666667,0.4082503522420093,0.0,92.0,7,RUNNING
51,30,5,0,0.3402352941176471,0.39666666666666667,0.41091705424888786,0.0,98.0,8,RUNNING
48,30,5,2,0.336,0.39666666666666667,0.4140234584508869,4.0000000000000036,100.0,9,RUNNING
46,30,5,4,0.33808695652173915,0.39666666666666667,0.4183131869913776,7.9999999999999964,100.0,10,RUNNING
43,30,4,7,0.3365581395348837,0.39666666666666667,0.42236815990633,14.000000000000002,100.0,11,RUNNING
43,30,4,7,0.3365581395348837,0.39666666666666667,0.42429598265930785,14.000000000000002,100.0,12,RUNNING
42,30,4,8,0.3394285714285714,0.39666666666666667,0.42720851531536425,16.000000000000004,100.0,13,RUNNING
39,30,4,11,0.34523076923076923,0.39666666666666667,0.4306751621980123,21.999999999999996,100.0,14,RUNNING
40,30,4,10,0.3564,0.39666666666666667,0.43383856932795783,19.999999999999996,100.0,15,RUNNING
35,30,4,15,0.3476571428571429,0.39666666666666667,0.43711906616413,30.000000000000004,100.0,16,RUNNING
31,30,4,19,0.36,0.39666666666666667,0.4397033221630344,38.0,100.0,17,RUNNING
31,30,4,19,0.36,0.39666666666666667,0.4428610691683887,38.0,100.0,18,RUNNING
28,30,4,22,0.36514285714285716,0.39666666666666667,0.44537962227236877,43.99999999999999,100.0,19,RUNNING
27,30,4,23,0.36533333333333334,0.39666666666666667,0.4485408305241985,46.0,100.0,20,RUNNING
23,30,4,27,0.35373913043478267,0.39666666666666667,0.4518854080780965,54.0,100.0,21,RUNNING
21,30,3,29,0.3737142857142858,0.39666666666666667,0.4543740049910201,58.00000000000001,100.0,22,RUNNING
19,30,3,31,0.3903157894736842,0.39666666666666667,0.45838576328244135,62.0,100.0,23,RUNNING
18,30,3,32,0.38400000000000006,0.39666666666666667,0.46078859114689436,64.0,100.0,24,RUNNING
14,30,2,36,0.3805714285714286,0.39666666666666667,0.464657680470377,72.0,100.0,25,RUNNING
12,30,1,38,0.37200000000000005,0.39666666666666667,0.4675724660909831,76.0,100.0,26,RUNNING
9,30,1,41,0.36000000000000004,0.39666666666666667,0.47048891505156726,82.0,100.0,27,RUNNING
4,30,1,46,0.43200000000000005,0.39666666666666667,0.4728722097899591,92.0,100.0,28,RUNNING
0,30,1,50,0.0,0.39666666666666667,0.47559937829055515,100.0,100.0,29,REMISSION
