Tumor Cells (current),Immune Cells (total),Active Immune Cells,Destroyed Tumor Cells,Average Cancer Cell PD-L1,Average TCell Activation,Average TCell Exhaustion,Overall Survival,Progression-Free Survival,Time Step,Simulation Status
50,20,9,0,0.33120000000000005,0.7385339996473193,0.19997059113721316,0.0,100.0,0,RUNNING
51,20,6,0,0.33176470588235296,0.6645058843239897,0.2029613296207174,0.0,98.0,1,RUNNING
51,20,6,0,0.33176470588235296,0.5488419779170607,0.20527225483399006,0.0,98.0,2,RUNNING
51,20,5,0,0.33176470588235296,0.545,0.20915136695262473,0.0,98.0,3,RUNNING
53,20,5,0,0.3355471698113208,0.545,0.21300467916887333,0.0,94.0,4,RUNNING
55,20,5,0,0.3416727272727273,0.545,0.21715963228696047,0.0,90.0,5,RUNNING
58,20,5,0,0.34758620689655173,0.545,0.22081631793606887,0.0,84.0,6,RUNNING
58,20,5,0,0.34758620689655173,0.545,0.22442806585260636,0.0,84.0,7,RUNNING
58,20,4,0,0.34758620689655173,0.545,0.22728203572574263,0.0,84.0,8,RUNNING
58,20,4,0,0.34758620689655173,0.545,0.22964104265651158,0.0,84.0,9,RUNNING
58,20,4,0,0.34758620689655173,0.545,0.23174244745263523,0.0,84.0,10,RUNNING
58,20,4,0,0.34758620689655173,0.545,0.23395321951192213,0.0,84.0,11,RUNNING
58,20,4,0,0.34758620689655173,0.545,0.23690798544317682,0.0,84.0,12,RUNNING
61,20,4,0,0.35055737704918033,0.545,0.23888430170256436,0.0,0.0,13,TUMOR_VICTORY
