Tumor Cells (current),Immune Cells (total),Active Immune Cells,Destroyed Tumor Cells,Overall Survival,Progression-Free Survival,Average Cancer Cell PD-L1,Average TCell Activation,Average TCell Exhaustion,Time Step
20,0,0,0,1,1,0.47000000000000003,0.7301688687755394,0.3901053476695246,0
21,0,56,-1,1,0,0.4809523809523809,0.9925,0.003278302452881963,1
22,0,56,-2,1,0,0.4727272727272727,0.9908333333333333,0.0033315110300736763,2
22,0,56,-2,1,0,0.4727272727272727,0.9899999999999999,0.0031262710565996207,3
24,0,56,-4,1,0,0.49166666666666664,0.9908333333333333,0.003608248768722172,4
24,0,56,-4,1,0,0.49166666666666664,0.9908333333333333,0.002840138825812915,5
24,0,56,-4,1,0,0.49166666666666664,0.9916666666666667,0.002651483655093082,6
24,0,56,-4,1,0,0.49166666666666664,0.9908333333333333,0.002804525310336453,7
24,0,56,-4,1,0,0.49166666666666664,0.9908333333333333,0.003556219960978191,8
24,0,56,-4,1,0,0.49166666666666664,0.9908333333333333,0.0031660769361356194,9
24,0,56,-4,1,0,0.49166666666666664,0.9908333333333333,0.0036419420170951382,10
25,0,56,-5,1,0,0.5,0.9899999999999999,0.0034541855418181223,11
26,0,56,-6,1,0,0.5,0.9908333333333333,0.0038219568708186998,12
26,0,56,-6,1,0,0.5,0.9933333333333333,0.0026805525705447023,13
25,0,56,-5,1,0,0.5,0.9908333333333333,0.003121025306505574,14
25,0,56,-5,1,0,0.5,0.9908333333333333,0.00288734224169256,15
26,0,56,-6,1,0,0.4923076923076923,0.9908333333333333,0.002503212162919416,16
27,0,56,-7,1,0,0.4925925925925925,0.9908333333333333,0.00245702268906662,17
29,0,56,-9,1,0,0.5,0.9908333333333333,0.0034220383255094077,18
30,0,56,-10,1,0,0.5066666666666666,0.9916666666666667,0.003007019194687028,19
31,0,56,-11,1,0,0.5064516129032258,0.9908333333333333,0.0036313508582547075,20
34,0,56,-14,1,0,0.5235294117647059,0.9916666666666667,0.003137990461645946,21
