Tumor Cells (current),Immune Cells (total),Active Immune Cells,Destroyed Tumor Cells,Average Cancer Cell PD-L1,Average TCell Activation,Average TCell Exhaustion,Overall Survival,Progression-Free Survival,Time Step
34,9,4,0,0.6273529411764707,0.6683838220208242,0.47188720623024355,0.0,100.0,0
35,9,3,0,0.621,0.5289931349780215,0.47404339471623014,0.0,97.05882352941177,1
35,9,3,0,0.621,0.545,0.4768233169553119,0.0,97.05882352941177,2
35,9,3,0,0.621,0.545,0.4799221375683793,0.0,97.05882352941177,3
36,9,3,0,0.6225,0.545,0.48163064375534304,0.0,94.11764705882352,4
36,9,3,0,0.6225,0.545,0.4855641404691263,0.0,94.11764705882352,5
36,9,3,0,0.6225,0.545,0.4879822392996451,0.0,94.11764705882352,6
36,9,3,0,0.6225,0.545,0.48972988916825483,0.0,94.11764705882352,7
36,9,3,0,0.6225,0.545,0.49211703370589543,0.0,94.11764705882352,8
37,9,3,0,0.6312162162162163,0.545,0.496034475152404,0.0,91.17647058823529,9
37,9,3,0,0.6312162162162163,0.545,0.4979375172471677,0.0,91.17647058823529,10
37,9,3,0,0.6385135135135135,0.545,0.5009705872959794,0.0,91.17647058823529,11
37,9,3,0,0.6385135135135135,0.545,0.5035975427931523,0.0,91.17647058823529,12
38,9,3,0,0.646578947368421,0.545,0.5061429162088389,0.0,88.23529411764706,13
38,9,3,0,0.6607894736842105,0.545,0.5087262432771408,0.0,88.23529411764706,14
39,9,2,0,0.6680769230769231,0.545,0.5111041815798579,0.0,85.29411764705883,15
39,9,2,0,0.6680769230769231,0.545,0.5143391897801517,0.0,85.29411764705883,16
39,9,2,0,0.6680769230769231,0.545,0.5182665997376082,0.0,85.29411764705883,17
40,9,2,0,0.6615,0.545,0.5230502453085111,0.0,82.35294117647058,18
41,9,2,0,0.6815853658536586,0.545,0.5262807532577858,0.0,79.41176470588236,19
40,9,2,0,0.675,0.545,0.5293336950380332,0.0,82.35294117647058,20
40,9,1,0,0.675,0.545,0.5322992186774936,0.0,82.35294117647058,21
45,9,1,0,0.6869999999999999,0.545,0.5361698244660545,0.0,67.64705882352942,22
45,9,1,0,0.6869999999999999,0.545,0.5389976464041253,0.0,67.64705882352942,23
45,9,1,0,0.6869999999999999,0.545,0.5412622740421267,0.0,67.64705882352942,24
44,9,1,0,0.693409090909091,0.545,0.5434065327455309,0.0,70.58823529411764,25
45,9,1,0,0.699,0.545,0.546209702771028,0.0,67.64705882352942,26
47,9,1,0,0.7094680851063829,0.545,0.550033598552798,0.0,61.76470588235294,27
50,9,1,0,0.7182,0.545,0.5533929095762458,0.0,52.94117647058824,28
50,9,1,0,0.7182,0.545,0.556762098243259,0.0,52.94117647058824,29
51,9,1,0,0.7226470588235293,0.545,0.561079972489137,0.0,50.0,30
54,9,1,0,0.7200000000000001,0.545,0.5645612590546691,0.0,41.17647058823529,31
55,9,1,0,0.7240909090909091,0.545,0.5682272592346546,0.0,38.23529411764706,32
56,9,1,0,0.7376785714285715,0.545,0.5698968298189719,0.0,35.29411764705882,33
58,9,1,0,0.7401724137931034,0.545,0.5725354303259983,0.0,29.411764705882348,34
62,9,1,0,0.7403225806451613,0.545,0.5756987982076023,0.0,17.647058823529417,35
62,9,1,0,0.7490322580645161,0.545,0.5791715996083913,0.0,17.647058823529417,36
62,9,1,0,0.7490322580645161,0.545,0.5823269045313579,0.0,17.647058823529417,37
63,9,1,0,0.7521428571428571,0.545,0.5846536307420626,0.0,14.70588235294118,38
63,9,1,0,0.7521428571428571,0.545,0.5876383934374305,0.0,14.70588235294118,39
66,9,1,0,0.7568181818181818,0.545,0.5896175984630209,0.0,5.882352941176472,40
68,9,1,0,0.7544117647058823,0.545,0.5910149001623877,0.0,0.0,41
69,9,1,0,0.7493478260869565,0.545,0.5936799961673799,0.0,0.0,42
71,9,1,0,0.7548591549295774,0.545,0.5983055675755198,0.0,0.0,43
71,9,1,0,0.7624647887323943,0.545,0.60299259669735,0.0,0.0,44
73,9,1,0,0.7563698630136986,0.545,0.6061126996560028,0.0,0.0,45
76,9,1,0,0.7638157894736842,0.545,0.6087249211008299,0.0,0.0,46
76,9,1,0,0.7638157894736842,0.545,0.611989416537579,0.0,0.0,47
78,9,1,0,0.7684615384615384,0.545,0.6157071678570268,0.0,0.0,48
79,9,1,0,0.7706962025316455,0.545,0.6190223922010236,0.0,0.0,49
83,9,1,0,0.7758433734939758,0.545,0.6217526287449069,0.0,0.0,50
84,9,1,0,0.7810714285714285,0.545,0.6240221015391456,0.0,0.0,51
85,9,1,0,0.7798235294117647,0.545,0.627549731999255,0.0,0.0,52
87,9,1,0,0.7774137931034484,0.543799778048369,0.6301722159237836,0.0,0.0,53
91,9,1,0,0.7788461538461539,0.5404933060006751,0.6327285653516221,0.0,0.0,54
93,9,1,0,0.7824193548387097,0.5350398193825738,0.6365379182859132,0.0,0.0,55
96,9,1,0,0.781875,0.5263754121233258,0.6396923175831472,0.0,0.0,56
100,9,1,0,0.7829999999999999,0.5154651345425788,0.642091413100847,0.0,0.0,57
100,9,1,0,0.7829999999999999,0.5016912888194845,0.6434758620538545,0.0,0.0,58
102,9,1,0,0.7808823529411765,0.4857977333348526,0.6460877393496661,0.0,0.0,59
106,9,1,0,0.7845283018867925,0.46789449422334356,0.6483805649546215,0.0,0.0,60
109,9,1,0,0.7889449541284405,0.4482594062387987,0.6515745468811196,0.0,0.0,61
111,9,1,0,0.7917567567567568,0.42646880607940435,0.6552756584790151,0.0,0.0,62
