Tumor Cells (current),Immune Cells (total),Active Immune Cells,Destroyed Tumor Cells,Average Cancer Cell PD-L1,Average TCell Activation,Average TCell Exhaustion,Overall Survival,Progression-Free Survival,Time Step,Simulation Status
50,30,12,0,0.46,0.7348124617031013,0.38369310660505285,0.0,100.0,0,RUNNING
49,30,30,1,0.44693877551020406,0.9933333333333333,0.1202376979163705,2.0000000000000018,100.0,1,RUNNING
43,30,30,7,0.44418604651162785,0.9899999999999999,0.00348270767065518,14.000000000000002,100.0,2,RUNNING
39,30,30,11,0.4384615384615384,0.9899999999999999,0.002135434779112858,21.999999999999996,100.0,3,RUNNING
35,30,30,15,0.44857142857142857,0.9933333333333333,0.003537677731597213,30.000000000000004,100.0,4,RUNNING
32,30,30,18,0.45625,0.9933333333333333,0.0029370164618986484,36.0,100.0,5,RUNNING
24,30,30,26,0.4583333333333333,0.9899999999999999,0.0028902632441822024,52.0,100.0,6,RUNNING
15,30,30,35,0.47333333333333333,0.9899999999999999,0.004548542480236673,70.0,100.0,7,RUNNING
10,30,30,40,0.48,0.9899999999999999,0.002317155486663832,80.0,100.0,8,RUNNING
6,30,30,44,0.43333333333333335,0.9899999999999999,0.0019475998515175827,88.0,100.0,9,RUNNING
2,30,30,48,0.4,0.9899999999999999,0.0024407750700696823,100.0,100.0,10,REMISSION
