Tumor Cells (current),Immune Cells (total),Active Immune Cells,Destroyed Tumor Cells,Average Cancer Cell PD-L1,Average TCell Activation,Average TCell Exhaustion,Overall Survival,Progression-Free Survival,Time Step,Simulation Status
56,26,11,0,0.4642857142857143,0.732416925561749,0.5411440028775696,0.0,100.0,0,RUNNING
56,26,9,0,0.4642857142857143,0.5314710255225809,0.5439912645139557,0.0,100.0,1,RUNNING
57,26,9,0,0.4649122807017544,0.3258116976144168,0.5475908211111677,0.0,98.21428571428571,2,RUNNING
58,26,8,0,0.4689655172413793,0.2741879628533875,0.5511388322195176,0.0,96.42857142857143,3,RUNNING
59,26,7,0,0.4661016949152542,0.2226204727850884,0.5530566092878869,0.0,94.64285714285714,4,RUNNING
61,26,7,0,0.4737704918032787,0.16856679979602052,0.5563243714979342,0.0,91.07142857142857,5,RUNNING
61,26,7,0,0.4737704918032787,0.11272056934179965,0.5583543702451693,0.0,91.07142857142857,6,RUNNING
61,26,6,0,0.4770491803278688,0.1,0.5622001430137435,0.0,91.07142857142857,7,RUNNING
62,26,5,0,0.4774193548387096,0.1,0.564692047377175,0.0,89.28571428571429,8,RUNNING
62,26,5,0,0.4774193548387096,0.1,0.5690313310357262,0.0,89.28571428571429,9,RUNNING
63,26,5,0,0.48095238095238096,0.1,0.5723154951284153,0.0,87.5,10,RUNNING
63,26,3,0,0.4809523809523809,0.1,0.5755807766782985,0.0,87.5,11,RUNNING
64,26,3,0,0.484375,0.1,0.5781271590344104,0.0,85.71428571428572,12,RUNNING
66,26,3,0,0.48484848484848486,0.1,0.5796314596885705,0.0,82.14285714285714,13,RUNNING
66,26,3,0,0.48484848484848486,0.1,0.5818992976599224,0.0,82.14285714285714,14,RUNNING
65,26,3,0,0.4846153846153846,0.1,0.5840453047637373,0.0,83.92857142857143,15,RUNNING
64,26,3,0,0.4875,0.1,0.5878686798993935,0.0,85.71428571428572,16,RUNNING
65,26,3,0,0.5,0.1,0.5902772664090079,0.0,83.92857142857143,17,RUNNING
67,26,3,0,0.5059701492537313,0.1,0.5944216207379694,0.0,80.35714285714286,18,RUNNING
65,26,3,0,0.5153846153846153,0.1,0.597412307859089,0.0,83.92857142857143,19,RUNNING
68,26,3,0,0.5205882352941176,0.1,0.6010095954099293,0.0,78.57142857142857,20,RUNNING
69,26,3,0,0.517391304347826,0.1,0.603984882061843,0.0,76.78571428571428,21,RUNNING
69,26,2,0,0.5144927536231884,0.1,0.6057857495628904,0.0,76.78571428571428,22,RUNNING
73,26,2,0,0.5219178082191781,0.1,0.6082312516258224,0.0,69.64285714285714,23,RUNNING
73,26,1,0,0.5273972602739726,0.1,0.6114524319216522,0.0,69.64285714285714,24,RUNNING
74,26,0,0,0.527027027027027,0.1,0.6147136856420878,0.0,67.85714285714286,25,RUNNING
79,26,0,0,0.530379746835443,0.1,0.616717173290076,0.0,0.0,26,TUMOR_VICTORY
