Tumor Cells (current),Immune Cells (total),Active Immune Cells,Destroyed Tumor Cells,Average Cancer Cell PD-L1,Average TCell Activation,Average TCell Exhaustion,Overall Survival,Progression-Free Survival,Time Step,Simulation Status
60,39,17,0,0.6775,0.6691483990089991,0.5243282966495876,0.0,100.0,0,RUNNING
61,39,39,0,0.6827868852459016,0.9914285714285713,0.0030722693461332174,0.0,98.33333333333333,1,RUNNING
61,39,39,0,0.6827868852459016,0.9914285714285713,0.003367757961095036,0.0,98.33333333333333,2,RUNNING
63,39,39,0,0.6849206349206349,0.99,0.002911511464797453,0.0,95.0,3,RUNNING
64,39,39,0,0.68125,0.99,0.003378921551727046,0.0,93.33333333333333,4,RUNNING
66,39,39,0,0.6871212121212121,0.9928571428571429,0.0022242979402907824,0.0,90.0,5,RUNNING
66,39,39,0,0.6916666666666667,0.9928571428571429,0.0028779697869130744,0.0,90.0,6,RUNNING
67,39,39,0,0.6925373134328358,0.9942857142857143,0.003765105859494757,0.0,88.33333333333333,7,RUNNING
68,39,39,0,0.7014705882352941,0.9914285714285713,0.0026070405844231875,0.0,86.66666666666667,8,RUNNING
67,39,39,0,0.6970149253731343,0.9914285714285713,0.0021022668221352342,0.0,88.33333333333333,9,RUNNING
68,39,39,0,0.6977941176470588,0.99,0.00268991030846752,0.0,86.66666666666667,10,RUNNING
68,39,39,0,0.6977941176470588,0.9928571428571429,0.0027174837790390825,0.0,86.66666666666667,11,RUNNING
68,39,39,0,0.7102941176470587,0.9914285714285713,0.0023684739754885396,0.0,86.66666666666667,12,RUNNING
68,39,39,0,0.7058823529411765,0.9914285714285713,0.0022204970964627793,0.0,86.66666666666667,13,RUNNING
69,39,39,0,0.7101449275362319,0.9914285714285713,0.0038398655556426227,0.0,85.0,14,RUNNING
70,39,39,0,0.7142857142857143,0.99,0.002854738514614872,0.0,83.33333333333334,15,RUNNING
72,39,39,0,0.71875,0.99,0.002953656496719512,0.0,80.0,16,RUNNING
72,39,39,0,0.7263888888888889,0.9942857142857143,0.0030882335080479597,0.0,80.0,17,RUNNING
70,39,39,0,0.7264285714285714,0.9914285714285713,0.0034240599265839182,0.0,83.33333333333334,18,RUNNING
70,39,39,0,0.735,0.9914285714285713,0.0025467440576261813,0.0,83.33333333333334,19,RUNNING
74,39,39,0,0.7425675675675675,0.9928571428571429,0.003431863599655364,0.0,76.66666666666666,20,RUNNING
78,39,39,0,0.7461538461538461,0.9928571428571429,0.0031414622074502534,0.0,70.0,21,RUNNING
81,39,39,0,0.7592592592592593,0.9914285714285713,0.0031258020785572076,0.0,65.0,22,RUNNING
78,39,39,0,0.7673076923076924,0.9914285714285713,0.002461778668791927,0.0,70.0,23,RUNNING
79,39,39,0,0.7670886075949367,0.9914285714285713,0.0025948040813139972,0.0,68.33333333333333,24,RUNNING
77,39,39,0,0.7675324675324675,0.9914285714285713,0.0034303895201181827,0.0,71.66666666666667,25,RUNNING
80,39,39,0,0.78,0.99,0.0019612687772800987,0.0,66.66666666666667,26,RUNNING
82,39,39,0,0.7884146341463415,0.9928571428571429,0.0030007587437292137,0.0,63.33333333333333,27,RUNNING
83,39,39,0,0.7975903614457832,0.9914285714285713,0.003272697952023636,0.0,61.66666666666667,28,RUNNING
85,39,39,0,0.8088235294117647,0.9914285714285713,0.003013005204280801,0.0,58.33333333333333,29,RUNNING
86,39,39,0,0.8081395348837209,0.9928571428571429,0.0027990800362869645,0.0,56.666666666666664,30,RUNNING
87,39,39,0,0.8103448275862069,0.99,0.0031948714951806787,0.0,55.00000000000001,31,RUNNING
88,39,39,0,0.8153409090909091,0.9914285714285713,0.00379461306198984,0.0,53.333333333333336,32,RUNNING
87,39,39,0,0.828735632183908,0.9914285714285713,0.002699486636960862,0.0,55.00000000000001,33,RUNNING
84,39,39,0,0.8458333333333333,0.99,0.002560076142510138,0.0,60.0,34,RUNNING
84,39,39,0,0.8392857142857143,0.99,0.00368712346160602,0.0,60.0,35,RUNNING
85,39,39,0,0.8476470588235294,0.99,0.0032470053903365832,0.0,58.33333333333333,36,RUNNING
85,39,39,0,0.8505882352941176,0.9914285714285713,0.003150986884797051,0.0,58.33333333333333,37,RUNNING
83,39,39,0,0.8506024096385542,0.9928571428571429,0.00251691867715435,0.0,61.66666666666667,38,RUNNING
87,39,39,0,0.8545977011494252,0.9914285714285713,0.003019318729059541,0.0,55.00000000000001,39,RUNNING
87,39,39,0,0.8609195402298851,0.99,0.0029330577582462303,0.0,55.00000000000001,40,RUNNING
89,39,39,0,0.8606741573033707,0.99,0.0025440483397349417,0.0,51.66666666666666,41,RUNNING
90,39,39,0,0.865,0.9928571428571429,0.0033815672232757467,0.0,50.0,42,RUNNING
90,39,39,0,0.8766666666666667,0.99,0.003439474489237085,0.0,50.0,43,RUNNING
92,39,39,0,0.8793478260869566,0.99,0.00270729076026522,0.0,46.666666666666664,44,RUNNING
96,39,39,0,0.8791666666666668,0.9928571428571429,0.0023150933635108636,0.0,40.0,45,RUNNING
97,39,39,0,0.8804123711340207,0.99,0.0034944305101329877,0.0,38.33333333333333,46,RUNNING
100,39,39,0,0.879,0.99,0.002816046978780024,0.0,33.333333333333336,47,RUNNING
97,39,39,0,0.8804123711340207,0.99,0.002878240404196123,0.0,38.33333333333333,48,RUNNING
100,39,39,0,0.8759999999999999,0.9914285714285713,0.00289249596271102,0.0,33.333333333333336,49,RUNNING
100,39,39,0,0.8785,0.99,0.0027970596613567217,0.0,33.333333333333336,50,MAX_STEPS
